open_day,link,p_rate,p_name,tags,open_time,category,p_id,address,price
연중무휴,https://place.map.kakao.com/17151176#comment,0/5,삼보락볼링장,"볼링장, 24시간영업, 즐거운 볼링장, 데이트코스, 야광볼링장.",볼링장,a,a10,서울 중랑구 중랑천로10길 76 (우)02124,
"매일 10:00 ~ 02:00
더보기",https://place.map.kakao.com/10937046#comment,0/5,한아름볼링프라자,,볼링장,a,a11,서울 광진구 능동로13길 39 지하1층 (우)05016,
,https://place.map.kakao.com/155156905#comment,0/5,역삼볼링시티,,볼링장,a,a12,서울 강남구 언주로85길 13 (우)06222,
"월~목 11:00 ~ 05:00
더보기",https://place.map.kakao.com/20747491#comment,0/5,태화볼링센타,,볼링장,a,a13,"서울 마포구 와우산로 111 지하1, 2층 (우)04054",
,https://place.map.kakao.com/195724001#comment,0/5,오란다볼링센터,,볼링장,a,a14,서울 서초구 방배로33길 29 한신트리플 지하1층 (우)06562,
,https://place.map.kakao.com/1267456804#comment,0/5,볼링볼링,,볼링장,a,a15,서울 중구 청계천로 400 (우)04572,
"월~금 12:00 ~ 05:00
더보기",https://place.map.kakao.com/827688965#comment,0/5,글로우스트라이크,,볼링장,a,a16,서울 강남구 도산대로 232 지하1층 (우)06048,
,https://place.map.kakao.com/17066979#comment,0/5,로얄볼링센타,,볼링장,a,a17,서울 영등포구 영등포로28길 5 코오롱아파트 지하3층 (우)07292,
"매일 00:00 ~ 24:00
더보기",https://place.map.kakao.com/8986032#comment,0/5,미화볼링센타,,볼링장,a,a18,서울 도봉구 도봉로 578 3층 (우)01426,
,https://place.map.kakao.com/159416427#comment,0/5,템플스트라이크,,볼링장,a,a19,서울 서초구 강남대로61길 13 지하 1층 (우)06615,
"매일 00:00 ~ 24:00
더보기",https://place.map.kakao.com/925703846#comment,0/5,스매싱볼 사당점,,볼링장,a,a110,서울 서초구 방배천로2길 10 지하1층 (우)06693,
,https://place.map.kakao.com/26312784#comment,0/5,KB볼링센타,,볼링장,a,a111,서울 성동구 뚝섬로 447 (우)04786,
"월~목 11:00 ~ 05:00
더보기",https://place.map.kakao.com/1277862647#comment,0/5,W락볼링센터,,볼링장,a,a112,서울 마포구 양화로 104 지하 1층 (우)04038,
,https://place.map.kakao.com/1144919177#comment,0/5,라인볼링센터 강남점,,볼링장,a,a113,서울 강남구 강남대로 308 랜드마크타워 지하2층 (우)06253,
"월~토 11:00 ~ 01:00
더보기",https://place.map.kakao.com/1249566991#comment,0/5,앵커스볼링라운지,호텔 라운지 컨셉의 고급스러운 볼링장,볼링장,a,a114,서울 구로구 디지털로31길 12 태평양물산IT빌딩 지하 1층 (우)08380,
매일 12:00 ~ 06:30,https://place.map.kakao.com/26322315#comment,0/5,놀러와볼링센터,,볼링장,a,a115,서울 서대문구 이화여대1길 10 예스에이피엠 지하2층 (우)03766,
"매일 11:00 ~ 02:00
더보기",https://place.map.kakao.com/22316596#comment,0/5,MK볼링센터 구로점,,볼링장,a,a20,서울 구로구 구로중앙로 134 나인스에비뉴 지하1층 (우)08293,
"월~금 09:00 ~ 02:00
더보기",https://place.map.kakao.com/658913203#comment,0/5,정석볼링장,"영등포 최고의 볼링장
정석볼링센터를 찾아주셔서 감사합니다.
락볼링 전용 룸 운영
최신식 시설 최고의 시설
쾌적한 대기실 운영, 농구, 다트 시설 완비
동호회 및 회원 모집중입니다.
언제든 최고의 서비스로 모시겠습니다.",볼링장,a,a21,서울 영등포구 경인로 775 1동 B143호 (우)07299,
매일 10:00 ~ 02:00,https://place.map.kakao.com/16499143#comment,0/5,유니온스타볼링클럽,,볼링장,a,a22,"서울 성동구 연무장7길 12 지하1, 2층 (우)04782",
,https://place.map.kakao.com/7956801#comment,0/5,세원볼링센터,,볼링장,a,a23,서울 양천구 신월로 354 (우)08087,
,https://place.map.kakao.com/18243570#comment,0/5,석촌볼링장,,볼링장,a,a24,서울 송파구 백제고분로 365 태문빌딩 지하1층 (우)05616,
,https://place.map.kakao.com/18472746#comment,0/5,다우볼링,,볼링장,a,a25,서울 은평구 증산로 253 원일빌딩 (우)03500,
,https://place.map.kakao.com/10324535#comment,0/5,LCI볼링장,"중구 최대의 20 레인 AMF기종
약 40개의 상주클럽활동
넓은 주차장",볼링장,a,a26,서울 중구 퇴계로18길 14 6-1 (우)04631,
"매일 00:00 ~ 24:00
더보기",https://place.map.kakao.com/896033428#comment,0/5,스매싱볼 홍대점,,볼링장,a,a27,"서울 마포구 독막로7길 48 3,4층 (우)04048",
,https://place.map.kakao.com/1785939642#comment,0/5,볼원볼링장,,볼링장,a,a28,"서울 강서구 강서로54길 42 2,3층 (우)07591",
매일 10:00 ~ 23:30,https://place.map.kakao.com/8200234#comment,0/5,남영볼링센터,,볼링장,a,a29,서울 용산구 한강대로 273 (우)04321,
,https://place.map.kakao.com/207908644#comment,0/5,퍼스트비앤피 볼링센터 여의도점,,볼링장,a,a210,서울 영등포구 국회대로 800 진미파라곤빌딩 지하 2층 (우)07238,
"매일 00:00 ~ 24:00
더보기",https://place.map.kakao.com/18507386#comment,0/5,스매싱볼 강남점,"안녕하세요. 스매싱볼입니다.

스매싱볼은 뮤직펍과 레스토랑,
볼링서비스를 제공하는 복합적인 엔터테인먼트입니다.

세계적인 뮤지션들의 공연실황과 호텔출신 쉐프들이
아메리칸,이탈리안 푸드를 제공하며,전문바텐더의 다양한 칵테일 및
세계의 드리프트 비어를 맛보실 수 있습니다.

또한 화려한 시설의 볼링서비스를 통해 이전에 경험하지 못하셨던
즐거운 시간을 한 공간에서 선사합니다.

남녀노소 누구나 쉽게 즐길수 있는 볼링뿐만 아니라
단체회식이나 각종 기업이벤트행사, 생일파티, 피로연 등을
할 수 있는 200명 이상 수용 가능한 넓은 공간,룸,
다양한 술과 음식이 준비되어 있으니
많은 관심과 성원 부탁드립니다.

감사합니다.


연중무휴 24시간 영업하며 주차가능합니다.",볼링장,a,a211,서울 강남구 강남대로 468 지하 2층 (우)06123,
,https://place.map.kakao.com/17876284#comment,0/5,스타24시볼링장,,볼링장,a,a213,서울 강남구 논현로 641 (우)06116,
,https://place.map.kakao.com/265673670#comment,0/5,가인볼링장 강남점,,볼링장,a,a214,"서울 강남구 봉은사로114길 20 새마을금고 중앙회관 지하 1,2층 (우)06172",
"월~목 10:30 ~ 02:00
더보기",https://place.map.kakao.com/9457517#comment,0/5,코끼리볼링장,,볼링장,a,a31,서울 중구 퇴계로 166 지하1층 (우)04627,
